GrandPrix,RiderNumber,RiderName,GridPosition,SprintFinish,MainRaceFinish
Great Britain,72,Marco Bezzecchi,10,4,1
Great Britain,73,Álex Márquez,2,1,5
Great Britain,79,Ai Ogura,,,
Great Britain,88,Miguel Oliveira,15,16,16
Great Britain,93,Marc Márquez,4,2,3

Aragon,1,Jorge Martín,,,
Aragon,5,Johann Zarco,12,16,23
Aragon,10,Luca Marini,,,
Aragon,12,Maverick Viñales,8,7,18
Aragon,20,Fabio Quartararo,9,11,23
Aragon,21,Franco Morbidelli,3,4,5
Aragon,23,Enea Bastianini,17,17,12
Aragon,25,Raúl Fernández,13,10,10
Aragon,33,Brad Binder,6,9,23
Aragon,35,Somkiat Chantra,21,19,16
Aragon,36,Joan Mir,11,23,7
Aragon,37,Pedro Acosta,5,5,4
Aragon,42,Álex Rins,15,14,11
Aragon,43,Jack Miller,14,13,14
Aragon,49,Fabio Di Giannantonio,10,6,9
Aragon,54,Fermín Aldeguer,7,3,6
Aragon,63,Francesco Bagnaia,4,12,3
Aragon,72,Marco Bezzecchi,20,8,8
Aragon,73,Álex Márquez,2,2,2
Aragon,79,Ai Ogura,,,
Aragon,88,Miguel Oliveira,16,15,15
Aragon,93,Marc Márquez,1,1,1
Italy,1,Jorge Martín,,,
Italy,5,Johann Zarco,14,23,23
Italy,10,Luca Marini,,,
Italy,12,Maverick Viñales,5,14,23
Italy,20,Fabio Quartararo,4,12,14
Italy,21,Franco Morbidelli,6,6,6
Italy,23,Enea Bastianini,16,11,23
Italy,25,Raúl Fernández,11,8,7
Italy,33,Brad Binder,15,23,9
Italy,35,Somkiat Chantra,22,19,18
Italy,36,Joan Mir,18,14,11
Italy,37,Pedro Acosta,8,23,8
Italy,42,Álex Rins,9,18,15
Italy,43,Jack Miller,13,16,23
Italy,49,Fabio Di Giannantonio,7,5,3
Italy,54,Fermín Aldeguer,12,9,12
Italy,63,Francesco Bagnaia,2,3,4
Italy,72,Marco Bezzecchi,10,6,5
Italy,73,Álex Márquez,3,2,2
Italy,79,Ai Ogura,21,12,10
Italy,88,Miguel Oliveira,17,13,13
Italy,93,Marc Márquez,1,1,1

Netherlands,1,Jorge Martín,,,
Netherlands,5,Johann Zarco,12,11,12
Netherlands,10,Luca Marini,,,
Netherlands,12,Maverick Viñales,10,6,5
Netherlands,20,Fabio Quartararo,1,23,10
Netherlands,21,Franco Morbidelli,6,8,7
Netherlands,23,Enea Bastianini,20,13,9
Netherlands,25,Raúl Fernández,11,23,8
Netherlands,33,Brad Binder,16,10,11
Netherlands,35,Somkiat Chantra,22,19,15
Netherlands,36,Joan Mir,13,23,23
Netherlands,37,Pedro Acosta,9,9,4
Netherlands,42,Álex Rins,18,15,13
Netherlands,43,Jack Miller,14,14,14
Netherlands,49,Fabio Di Giannantonio,8,4,6
Netherlands,54,Fermín Aldeguer,7,7,23
Netherlands,63,Francesco Bagnaia,2,5,3
Netherlands,72,Marco Bezzecchi,5,3,2
Netherlands,73,Álex Márquez,3,2,23
Netherlands,79,Ai Ogura,19,17,23
Netherlands,88,Miguel Oliveira,17,12,23
Netherlands,93,Marc Márquez,4,1,1

Germany,1,Jorge Martín,,,
Germany,5,Johann Zarco,2,7,23
Germany,10,Luca Marini,13,16,6
Germany,12,Maverick Viñales,20,,
Germany,20,Fabio Quartararo,6,3,4
Germany,21,Franco Morbidelli,19,23,
Germany,23,Enea Bastianini,,,
Germany,25,Raúl Fernández,14,13,9
Germany,33,Brad Binder,9,6,7
Germany,35,Somkiat Chantra,,,
Germany,36,Joan Mir,15,14,23
Germany,37,Pedro Acosta,4,9,23
Germany,42,Álex Rins,16,15,10
